WineName,AvgScore,ScoreCount,Light,Smooth,Dry,Soft
Acrobat Pinot Noir,3.7,7992,16.5868,17.9848,0.176262,62.708
Poliziano Vino Nobile Di Montepulciano,4.0,19683,53.2983,57.0004,1.51668,63.5478
Dakota Shy Cabernet Sauvignon,4.6,914,80,48.4438,6.91033,49.1494
Paolo Scavino Barolo,4.1,7688,61.7157,76.8678,0,80
Château Rollan De By Médoc,3.9,9750,69.5798,68.8257,6.46862,69.3302
Altesino Brunello Di Montalcino Montosoli,4.4,5181,45.8825,54.9644,4.89714,62.718
Elio Grasso Barolo Gavarini Chiniera,4.2,2685,59.5427,73.8692,5.12326,80
Louis Jadot Bourgogne Pinot Noir,3.5,28899,27.2065,20.6185,0,63.1018
Le Macchiole Bolgheri Rosso,4.0,14934,62.2478,62.7011,5.40796,52.0921
Keplinger Sumō,4.4,214,80,55.4863,0,60.8063
Drylands Sauvignon Blanc,4.0,2112,29.1451,0,76.9007,
Folonari Chianti,3.5,1855,41.1032,55.2961,1.09785,64.0549
Château Guiraud Sauternes (Premier Grand Cru Classé),4.3,13814,80,80,73.7839,
Domaine Du Pesquier Gigondas,3.8,3233,63.7064,48.8829,4.58727,53.3388
Jacob'S Creek Riesling,3.2,813,37.0453,0,67.987,
Domaine Des Baumard Quarts De Chaume,4.4,1829,43.1849,50.6435,58.5995,
Trimbach Pinot Gris Alsace Réserve Personnelle,4.1,1992,43.901,23.1648,33.9341,
Saxum James Berry Vineyard,4.6,1477,80,54.7837,8.29725,53.4185
St. Clement Cabernet Sauvignon,4.0,1484,80,51.8685,3.01919,64.2495
Trimbach Riesling Alsace,3.7,19213,39.6017,18.3539,76.9487,
Canalicchio Di Sopra Brunello Di Montalcino,4.3,7011,44.8213,54.934,6.0734,61.1531
Vincent Girardin Corton-Charlemagne Grand Cru,4.4,1555,60.2968,6.94469,47.7336,
Shoofly Shiraz,3.5,1528,80,47.2964,13.6854,42.3863
Domaine Petroni Corse,3.8,1065,,,,
San Felice Chianti Classico,3.6,13245,40.6098,52.8144,1.62,61.9902
Joseph Phelps Insignia,4.6,26603,80,52.2409,8.40733,60.8506
COS Cerasuolo Di Vittoria Classico,4.0,8710,75.6232,38.7995,20.5333,31.6404
Shafer Merlot,4.2,5146,64.0293,17.7211,17.8177,8.19227
Bartolo Mascarello Barolo,4.4,4322,56.2209,75.0058,7.0814,79.1927
Domaine De Beaurenard Châteauneuf-Du-Pape,4.1,6532,80,39.2862,3.06127,41.7623
Planeta Cerasuolo Di Vittoria,3.6,7158,72.0526,37.4151,22.2559,31.5448
Istine Chianti Classico,3.6,2469,41.9295,58.4461,0,64.2922
Massolino Barolo,4.1,13730,59.6829,74.5518,2.20239,80
King Estate Pinot Gris,3.9,7407,37.798,10.7456,33.7355,
Thornbury Sauvignon Blanc,3.8,436,33.1647,0,73.0302,
Tenuta Delle Terre Nere Etna San Lorenzo Rosso,4.3,620,69.4527,41.9368,25.7023,38.4846
Château Suduiraut Sauternes (Premier Grand Cru Classé),4.3,13773,80,80,73.6731,
Château Pontet-Canet Pauillac (Grand Cru Classé),4.3,37985,70.6132,70.9016,7.15175,69.8496
Philippe Alliet Chinon Rouge,3.7,759,,,,
Hewitt Cabernet Sauvignon,4.5,3679,80,49.4472,3.66203,49.3493
Provenance Sauvignon Blanc,3.7,1123,42.1262,5.1385,63.1964,
Ornellaia Bolgheri Superiore,4.6,40793,62.1102,62.3613,10.3372,51.4208
Cantina Del Pino Barbaresco Ovello,4.1,1453,59.1326,68.8927,5.77577,80
